pygame-ce 2.4.1 (SDL 2.28.5, Python 3.10.12)
         20409299 function calls (20402393 primitive calls) in 10.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2429(EntryPoint)
        1    0.000    0.000    0.000    0.000 _debug.py:1(<module>)
     1968    0.000    0.000    0.000    0.000 version.py:301(<genexpr>)
     2582    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
     3335    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      6/2    0.000    0.000    0.000    0.000 pyparsing.py:4183(streamline)
       90    0.000    0.000    0.000    0.000 enum.py:986(__and__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
       48    0.000    0.000    0.000    0.000 pyparsing.py:1948(__or__)
      481    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3233(WordEnd)
      877    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
      352    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
      237    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
      509    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       49    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
      141    0.000    0.000    0.000    0.000 __init__.py:2906(<listcomp>)
        8    0.000    0.000    0.000    0.000 __init__.py:2341(normalize_path)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        9    0.000    0.000    0.000    0.000 posixpath.py:392(realpath)
      954    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6855(__init__)
